Strobe,Gap,Str_par,Ev,Rate,Rate_err
20000.0,45000.0,0.3076923076923077,5839.0,350336.5491849905,4584.755817296955
45000.0,45000.0,0.5,9574.0,574435.8257663327,5870.76648264772
30000.0,65000.0,0.3157894736842105,6105.0,366294.9146056022,4688.0048802137935
60000.0,65000.0,0.48,9198.0,551875.8977224936,5754.32947688337
40000.0,65000.0,0.38095238095238093,7246.0,434755.6669351862,5107.3554834976485
20000.0,25000.0,0.4444444444444444,8681.0,520854.5570698786,5590.254632107388
35000.0,65000.0,0.35,6795.0,407696.2627842578,4945.86206198337
55000.0,65000.0,0.4583333333333333,8628.0,517674.0898874738,5573.158062584017
15000.0,45000.0,0.25,4927.0,295616.8812419029,4211.511100662386
25000.0,45000.0,0.35714285714285715,6939.0,416335.25377810694,4997.982638687255
15000.0,65000.0,0.1875,3620.0,217198.01625811815,3609.9531786522193
5000.0,65000.0,0.07142857142857142,1406.0,84359.49103107078,2249.786417398936
65000.0,65000.0,0.5,9607.0,576414.1878236061,5880.858996979018
35000.0,45000.0,0.4375,8384.0,503036.3781380774,5493.8115528414255
30000.0,45000.0,0.4,7506.0,450355.804185091,5198.182038420389
50000.0,65000.0,0.43478260869565216,8345.0,500695.66063760786,5481.010789878942
25000.0,25000.0,0.5,9617.0,577012.2584188662,5883.899303735223
25000.0,65000.0,0.2777777777777778,5238.0,314277.281501515,4342.4041476574575
45000.0,65000.0,0.4090909090909091,7827.0,469614.6463930312,5308.159527635315
10000.0,45000.0,0.18181818181818182,3529.0,211737.53325773755,3564.2816937852626
40000.0,45000.0,0.47058823529411764,9207.0,552414.6968189105,5757.131544556184
20000.0,65000.0,0.23529411764705882,4472.0,268317.29893919063,4012.3404484582693
15000.0,25000.0,0.375,7340.0,440394.28221423586,5140.361258721259
10000.0,65000.0,0.13333333333333333,2537.0,152218.75941711073,3022.0938322063944
5000.0,45000.0,0.1,2049.0,122938.92838234092,2715.9291976120003
