pico_step,pico_rad,pico_deg,pico_e_mu,pred_e_mu,pico_step_err,pico_rad_err,pico_deg_err,pico_e_mu_err
-40,-0.6283185307179586,-36.0,4.51,4.503652439984966,0.05,0.0007853981633974483,0.045000000000000005,0.003
-30,-0.47123889803846897,-27.0,4.655413583151938,4.65346161068414,0.05,0.0007853981633974483,0.045000000000000005,0.0031753949832983787
-20,-0.3141592653589793,-18.0,4.745904677126155,4.7473433758929415,0.05,0.0007853981633974483,0.045000000000000005,0.002988471342456533
-10,-0.15707963267948966,-9.0,4.7930161354921275,4.800141240877816,0.05,0.0007853981633974483,0.045000000000000005,0.0029736915011981018
0,0.0,0.0,4.827,4.819153240964379,0.05,0.0007853981633974483,0.045000000000000005,0.0028437237508075943
10,0.15707963267948966,9.0,4.808049846755624,4.806831264915094,0.05,0.0007853981633974483,0.045000000000000005,0.002895491362088362
20,0.3141592653589793,18.0,4.758173581744458,4.761596643625847,0.05,0.0007853981633974483,0.045000000000000005,0.0031016935650802885
30,0.47123889803846897,27.0,4.67858481122675,4.677320387537355,0.05,0.0007853981633974483,0.045000000000000005,0.0032194357986686816
40,0.6283185307179586,36.0,4.540828864005723,4.541123734995933,0.05,0.0007853981633974483,0.045000000000000005,0.0036494888154237947
